molecule_idx,n_basis,regularization,nmape,r2,mae
51803,3058,1e-10,0.262516490011621,0.9999984278644862,0.0001616775695396
1052,2376,1e-10,0.2213352837127596,0.9999985935119298,0.000153909202289
74629,3377,1e-10,0.2822074200752499,0.9999973136091248,0.0002162967967485
108867,3641,1e-10,0.2515400134284565,0.999998012938809,0.0001775435293485
84242,3322,1e-10,0.2566631821745699,0.99999793740535,0.000194567250899
97741,3355,1e-10,0.2404538770705736,0.999998446666738,0.0001873655981416
40807,3025,1e-10,0.2662280559406512,0.9999976212728277,0.0001691239071813
51682,3234,1e-10,0.276846444287565,0.9999977545768156,0.0002227182279643
48166,3377,1e-10,0.2877812773596128,0.9999973273898068,0.000177461534095
86627,3289,1e-10,0.2558270938133846,0.9999978816449876,0.0002089358941072
55656,3498,1e-10,0.272872375659483,0.9999978016976404,0.0001906256279313
82993,3289,1e-10,0.2709892530173673,0.999997549602404,0.0002129110141751
112229,3531,1e-10,0.2416914243713452,0.9999984424156624,0.0001963267763822
3976,2585,1e-10,0.2465012326227605,0.9999977864271464,0.0003040111861987
78859,3377,1e-10,0.2475140928572494,0.9999980435159418,0.0001859494791309
120300,2728,1e-10,0.2468370911431371,0.9999976617359888,0.0003062320114396
56618,3322,1e-10,0.2601496066162686,0.9999979962444498,0.0001905493583571
119973,2739,1e-10,0.2306083373998436,0.9999984307788436,0.0002739796375971
75560,3355,1e-10,0.2703821227294874,0.9999978390539424,0.0002196414120757
69413,3201,1e-10,0.2662916810577916,0.9999975986384686,0.0002131043087889
44607,3179,1e-10,0.2766785713725088,0.9999981163555168,0.000205305513356
82988,3322,1e-10,0.2628246938160666,0.9999978190865894,0.0001904098366495
37564,3377,1e-10,0.2882184588944588,0.9999970153167131,0.0002088717441036
45066,3201,1e-10,0.3001244834499762,0.9999968733053995,0.0002269397205307
83671,3234,1e-10,0.2884156444716059,0.99999754058895,0.0002241987259154
33220,3289,1e-10,0.242867312306813,0.9999980749361982,0.0001493284495076
83041,3179,1e-10,0.2860899800690557,0.999997834625069,0.0002113979425878
100395,3377,1e-10,0.2684179987724376,0.9999978263667676,0.000172617488768
114524,3113,1e-10,0.2693504801250285,0.999997579280034,0.0002449415529097
121830,3025,1e-10,0.2779379029911005,0.9999975095327762,0.000231796232851
43455,3234,1e-10,0.264519753220836,0.9999978793161372,0.0002293552586119
85248,3465,1e-10,0.259670093154844,0.9999974723126336,0.0001976560955229
71590,3498,1e-10,0.2783343296691603,0.9999975079672602,0.0002261517172629
32547,3080,1e-10,0.2583956838736115,0.99999743525771,0.0001766642934657
52785,2937,1e-10,0.2755930470311392,0.9999977746655424,0.0001919505549399
45660,3201,1e-10,0.269097722771525,0.9999973162374672,0.0002176467479796
100113,3465,1e-10,0.287507000733634,0.9999968598512,0.000209404189436
76865,3234,1e-10,0.2648852129299295,0.9999977491854216,0.0002309652658706
3919,2387,1e-10,0.2352806746144022,0.9999985269967218,0.0002667744676003
34904,3058,1e-10,0.2887986811137706,0.9999970011495408,0.0002407569929597
24178,3289,1e-10,0.2815606282446181,0.9999975965066764,0.0002033139271779
121897,3289,1e-10,0.2848610921959935,0.999997764148994,0.0001719925079735
25052,2970,1e-10,0.2566982420357463,0.9999980514209904,0.0002410303642055
49934,2970,1e-10,0.2371066141200029,0.999998533568594,0.0002018904882511
1341,2761,1e-10,0.253651159154261,0.9999981466631616,0.0001669038327328
117069,3432,1e-10,0.2722997963682088,0.9999975114251776,0.0001769952751719
22771,3201,1e-10,0.2759571701213773,0.9999975062470406,0.0001761314529047
51882,3674,1e-10,0.2522870719331326,0.999998324829297,0.000163475963657
7949,2761,1e-10,0.2924211301247293,0.999996914799169,0.0001935818560017
15838,3344,1e-10,0.307178115845,0.999996333108596,0.0001765843565823
111589,3355,1e-10,0.2795751540526891,0.9999979879125244,0.0001737116478143
112077,3531,1e-10,0.2719215983696213,0.9999980658385024,0.000199022866112
53371,3465,1e-10,0.2678282500912795,0.9999975509910952,0.0001654585938586
5841,2882,1e-10,0.2626855750351127,0.9999984736437298,0.0001586695920712
35149,3256,1e-10,0.2714371868548196,0.9999967357656832,0.0001846279256242
